Abby
Abe
Abram
Aby
Ada
Adrian
Aggie
Aggy
Aileen
Ailie
Ailie
Alan
Alec
Aleck
Alex
Alf
Alfie
Algy
Alick
Allie
Ally
Andy
Angel
Ann
Anna
Anne
Annabel
Annaple
Annie
Archie
Archy
Augustin
Austin
Bab
Babbie
Babs
Baldie
Barnabas
Barnaby
Barney
Bart
Bat
Beatrice
Beatrix
Beck
Becky
Bel
Bella
Belle
Ben
Bennet
Benny
Bert
Bertie
Berty
Bess
Bessie
Bessy
Beth
Bethy
Betsy
Betty
Bex
Biddy
Birdie
Bill
Billie
Billy
Bob
Bobby
Caddie
Caitlin
Carrie
Cassie
Casy
Cate
Cathie
Charley
Chas
Charlie
Chip
Chris
Chrissie
Christie
Christy
Chuck
Cici
Cindy
Cis
Cissie
Cissy
Claire
Clare
Claud
Clement
Connie
Corinna
Crispin
Crispus
Daisy
Dan
Danny
Dave
Davy
Deb
Debbie
Denis
Di
Dick
Dicken
Dickie
Dickon
Dicky
Die
Dob
Dobbin
Dod
Doddy
Dol
Dolly
Dora
Dot
Eck
Ecky
Ed
Eddie
Eddy
Edie
Effie
Eileen
Ella
Ellen
Elsie
Elspie
Emm
Emmie
Eneas
Essie
Etta
Euphie
Eva
Eve
Fanny
Flo
Flossie
Floy
Francie
Frank
Frankie
Fred
Freddie
Freddy
Gabe
Genie
Georgie
Gertie
Gil
Greg
Grissel
Gritty
Gus
Gussie
Gustus
Hal
Hank
Harry
Hatty
Hen
Henny
Hetty
Hodge
Hodgekin
Horace
Huggin
Hughie
Hughoc
Humph
Hy
Ik
Ike
Inez
Isa
Izzy
Izzie
Issy
Jack
Jake
Janet
Jeames
Jean
Jeanie
Jeannie
Jem
Jemmy
Jen
Jennie
Jenny
Jeremy
Jess
Jessie
Jim
Jimmie
Jimmy
Jo
Jock
Joe
Joey
Johnnie
Johnny
Josh
Josie
Josy
Jozy
Judy
Jule
Jules
Julie
Kate
Kath
Kathie
Katie
Katrine
Ken
Kester
Kit
Kitty
Larry
Laura
Len
Lena
Lenny
Lettie
Lew
Lewie
Lex
Lexie
Libby
Lilly
Lily
Lisa
Liz
Liza
Lizzie
Lorrie
Lou
Louie
Lucy
Luke
Maddie
Madge
Mag
Maggie
Mamie
Manny
Margery
Margie
Marjorie
Marjory
Mark
Mat
Matt
Mattie
Matty
Maud
Maudlin
May
Meg
Meggy
Meta
Mick
Micky
Mif
Miffy
Mike
Mina
Minella
Minnie
Missi
Missy
Missie
Moll
Molly
Mose
Mosey
Nabby
Nan
Nance
Nancy
Nanny
Nat
Ned
Neddy
Nell
Nellie
Net
Nettie
Netty
Nic
Nick
Nina
Nol
Nolly
Nora
Norah
Ollie
Olly
Paddy
Pat
Patty
Paul
Peg
Peggy
Penny
Pete
Peterkin
Phamie
Phemie
Pheny
Phil
Phyl
Pip
Pippa
Pol
Polly
Prudy
Prue
Ralph
Ray
Reg
Reggie
Rick
Rob
Robbie
Robin
Rod
Roddie
Roddy
Rodge
Ron
Rosie
Roxy
Sal
Sally
Sam
Sammy
Sanders
Sandy
Sawnie
Seb
Sibella
Sim
Sis
Sisely
Sissie
Sly
Sol
Sophie
Sophy
Steenie
Steve
Stevie
Sue
Suke
Suky
Susie
Susy
Tam
Tammie
Tammy
Tave
Tavy
Ted
Teddy
Teenie
Terry
Tess
Tessa
Tib
Tibbie
Tilda
Tillie
Tim
Tina
Toby
Tom
Tommy
Tony
Tracie
Trudy
Vest
Vester
Vic
Vicky
Vinty
Wat
Watty
Will
Willie
Willy
Wilmett
Wilmot
Winnie
Xina
Yiddy
Zac
Zach
Zacky
Zak
Zeke
